Filter,Wav[A],A(lambda)/A(V)
UVW2,2085.7,2.931024607491679
UVM2,2245.8,2.9044109064937964
UVW1,2684.1,2.041651341196485
U,3678.9,1.5248229622397682
B,4333.3,1.3141408322929875
V,5321.6,1.0475963678388003
I,8567.6,0.6744903185195033
