# This file contains the ZAMS for Z = 0.006 environments.
# I am using Vega magnitudes and present absolute magnitudes.
# I am adding both the estimates from blackbodies and from Kurucz models.
# The stellar properties for the ZAMS come from my grid_006 single star evolutionary grid.
# The Kurucz models I am using are for 10^-0.5 solar = 0.3Zsun ~ 0.004.
# The Kurucz grid is called fm05k2odfnew.pck.
# I have interpolated the Kurucz spectral models over the Teff and logg 
# to get the most accurate magnitudes. I used the properties from the evolutionary models for this.
Minit 	 UVW2_BB 	 UVW2_spec 	 UVM2_BB 	 UVM2_spec 	 UVW1_BB 	 UVW1_spec 	 U_BB 	 U_spec 	 B_BB 	 B_spec 	 V_BB 	 V_spec 	 I_BB 	 I_spec 	 J_BB 	 J_spec 	 H_BB 	 H_spec 	 Ks_BB 	 Ks_spec
2.0 	 1.4635266624162557 	 1.2461687761601143 	 1.1491815103003253 	 1.267395916083487 	 0.9796408054290061 	 1.3214019142465927 	 1.0975349892927393 	 1.5555673854418781 	 1.9125623042770021 	 1.7496664520085534 	 1.810449258936993 	 1.790428672874902 	 1.6488830277971758 	 1.8504726671218772 	 1.7533134953984937 	 1.9133835390469973 	 1.722550455045585 	 1.9517842527392064 	 1.7295235985693445 	 1.9640119872063397
2.21 	 0.9054479055651355 	 0.7502367819707779 	 0.6282601936517962 	 0.7853156979588494 	 0.508462093194268 	 0.8647925475538549 	 0.7293165514249129 	 1.202130354333116 	 1.5870958281174419 	 1.4920804221473336 	 1.5239277916045137 	 1.5585394697705288 	 1.4069636805462924 	 1.6396534859944176 	 1.5416712475829317 	 1.7333023890504928 	 1.5236495209893404 	 1.7792725976143007 	 1.5393060157368497 	 1.7989742099916606
2.44 	 0.35318129736457327 	 0.2622600009195406 	 0.11326455657901441 	 0.3099413022846057 	 0.03870683274221269 	 0.41079640795489425 	 0.3577312831271024 	 0.8455805920056175 	 1.2551623288221914 	 1.2277395963059685 	 1.2281406368883319 	 1.314310248351798 	 1.1524347402748032 	 1.413807705705418 	 1.31518203524573 	 1.5357210971689672 	 1.3089949334853468 	 1.5888792461204935 	 1.3327365253604107 	 1.615205916258982
2.7 	 -0.1621331453735726 	 -0.1999297073900126 	 -0.3670445047984234 	 -0.14055475141805057 	 -0.4026153868131248 	 -0.021594634050597576 	 0.0049399701536444966 	 0.5046505541289696 	 0.9372246393613198 	 0.9701294689789608 	 0.94200062866162 	 1.0735042627638245 	 0.902497061570626 	 1.1894655108466323 	 1.0898884078318736 	 1.3361778998230318 	 1.0941343463431026 	 1.3959133344680072 	 1.1250204889199482 	 1.4278302826082134
2.99 	 -0.6582530804710347 	 -0.6367387180756201 	 -0.8296135865239431 	 -0.5675307761321975 	 -0.8305420118554628 	 -0.4337561930951534 	 -0.34084945326661753 	 0.1728793733396192 	 0.6230249227407519 	 0.7110222874296719 	 0.6566470965437059 	 0.8296774251724286 	 0.6499266630487771 	 0.960964238292602 	 0.8596791332209107 	 1.1301137483148607 	 0.8734203845020034 	 1.1959736270884735 	 0.910823749214168 	 1.2329429642202157
3.3 	 -1.118107764965526 	 -1.0451157734812244 	 -1.2584925515324548 	 -0.9669794471963944 	 -1.2295244540971124 	 -0.8200350776717502 	 -0.6659698190520242 	 -0.13979218699786938 	 0.3257143825869194 	 0.46144678479983403 	 0.38475745383016813 	 0.5942004303250205 	 0.40689390731074443 	 0.7399426880039166 	 0.6363739790847068 	 0.9291123577157223 	 0.6585173669725983 	 1.0005176559450524 	 0.7017001715778224 	 1.0420688462404695
3.65 	 -1.5510989824812231 	 -1.4345969982213873 	 -1.6626214595032416 	 -1.348031082187633 	 -1.6074226411975139 	 -1.1889429206577142 	 -0.9764949492752567 	 -0.44014730306559346 	 0.0400763323583523 	 0.21698210467335308 	 0.1218947714969927 	 0.36313928095039993 	 0.16986894183812196 	 0.5229490357912496 	 0.41705543426826963 	 0.7305476549087091 	 0.44676201299859547 	 0.8070955686762864 	 0.4951578176962465 	 0.8530685858897686
4.04 	 -1.9677948542559187 	 -1.8158313726640338 	 -2.0520488331496227 	 -1.721010243569413 	 -1.9733903527376608 	 -1.5506084967911922 	 -1.2799187843189683 	 -0.7373118004253038 	 -0.24064194500297598 	 -0.028704531511981546 	 -0.13801817158495105 	 0.13046479019945836 	 -0.0664456087022673 	 0.3041843134489079 	 0.19695412318687427 	 0.5292538896036675 	 0.23360572198018775 	 0.6108251931047979 	 0.28679776651714983 	 0.6611262924825067
4.46 	 -2.359477355584756 	 -2.180641751330215 	 -2.4185300716163343 	 -2.077872908332642 	 -2.319253245497336 	 -1.8972931522809011 	 -1.568813320894649 	 -1.024963005456179 	 -0.5091780688643246 	 -0.26908405239270844 	 -0.38787398845263654 	 -0.09752780526758008 	 -0.29510963322212724 	 0.08963151141347664 	 -0.017111565847558595 	 0.33109559480159 	 0.025810514288952358 	 0.417497446455375 	 0.08334097479619813 	 0.4719983027991246
4.93 	 -2.7341166976034965 	 -2.5367355116323504 	 -2.7696885170938685 	 -2.426214642093451 	 -2.652064514439748 	 -2.2364463632471567 	 -1.8491760909620858 	 -1.3097771226331858 	 -0.7710611519725048 	 -0.5092201714658047 	 -0.6327758531146821 	 -0.3257148744226073 	 -0.5207381651473674 	 -0.125575029459114 	 -0.22942773251010876 	 0.13152497834579166 	 -0.18077240092353447 	 0.22260872044425312 	 -0.1192682929011714 	 0.281252661102881
5.45 	 -3.0978849646046918 	 -2.8902772381849102 	 -3.1112731438797843 	 -2.772168911071937 	 -2.9770410460720003 	 -2.573899675485621 	 -2.1250918125645386 	 -1.596213558819128 	 -1.0299116302318845 	 -0.7525180151572007 	 -0.8759205820361322 	 -0.5572943316886255 	 -0.7460443951936208 	 -0.3443661030291272 	 -0.44237917572851365 	 -0.0720512274194146 	 -0.3883893199356172 	 0.023682380953532308 	 -0.3231817486671459 	 0.08653336826900376
6.03 	 -3.4402572329752816 	 -3.230311893545712 	 -3.4336013017072857 	 -3.1050471298216897 	 -3.284941409833964 	 -2.8990684793469206 	 -2.3890217385695176 	 -1.8752484770776656 	 -1.2787217720224957 	 -0.9920215445195667 	 -1.1107931968345373 	 -0.7858757005758944 	 -0.9650724667380142 	 -0.5607538956216854 	 -0.6504038994366239 	 -0.27429831375171476 	 -0.5916513736881742 	 -0.17405345736982902 	 -0.5231321491426875 	 -0.10716066106282425
6.66 	 -3.7692333866595975 	 -3.5644470519375315 	 -3.7437262386216332 	 -3.432002965043519 	 -3.581978102736994 	 -3.218597169251929 	 -2.6449758166057817 	 -2.1510063252822347 	 -1.5206927212020191 	 -1.2300359574495376 	 -1.339853404015784 	 -1.0134426164029005 	 -1.1794399466536452 	 -0.7762654009964186 	 -0.8545409666715151 	 -0.47595503667169253 	 -0.7913499924629581 	 -0.37094148826036016 	 -0.7197400058074745 	 -0.2998901154690701
7.37 	 -4.089045360948927 	 -3.896562000977684 	 -4.045891774153424 	 -3.7568585836196218 	 -3.872299071323863 	 -3.536268675423735 	 -2.897045947202506 	 -2.4275866206816894 	 -1.7598633079296733 	 -1.4704808782886656 	 -1.567093782476121 	 -1.2439722946688603 	 -1.3930873946964493 	 -0.9952585717603812 	 -1.058698939141298 	 -0.6813857610467589 	 -0.9913816794587769 	 -0.5713975968809428 	 -0.9168942569274746 	 -0.49606791571799835
8.15 	 -4.3738661866712585 	 -4.199010835828921 	 -4.315728693397168 	 -4.0522988495349574 	 -4.132377826649007 	 -3.825174202146742 	 -3.1247797389252114 	 -2.681212858030289 	 -1.976775607835597 	 -1.692788200199444 	 -1.7739814924733537 	 -1.4577263075861517 	 -1.5885393979210654 	 -1.199148440418648 	 -1.2461477352535275 	 -0.8733450655910647 	 -1.1753432366898156 	 -0.7588418157963521 	 -1.0984208899309116 	 -0.679551583093225
9.0 	 -4.6715543636095145 	 -4.523790566033451 	 -4.598076525870849 	 -4.368773285944985 	 -4.405011804185393 	 -4.134215528726692 	 -3.364407540914356 	 -2.9530715716961646 	 -2.205438750350769 	 -1.93216151310633 	 -1.9924708551837833 	 -1.6878677990330058 	 -1.7954079286120639 	 -1.4189710465154046 	 -1.4448639061949775 	 -1.0806017221938513 	 -1.370500136375448 	 -0.9613531320919788 	 -1.2910895486876823 	 -0.8778428180050637
9.96 	 -4.959785770091174 	 -4.849102763386327 	 -4.872218245952732 	 -4.685009287541822 	 -4.6704714566524395 	 -4.442582410504632 	 -3.599631726749184 	 -3.2249037462598684 	 -2.4306847561357983 	 -2.173973113576167 	 -2.2084426803815145 	 -1.9202725248686126 	 -2.0007717564772927 	 -1.6409783149197585 	 -1.6427677091484805 	 -1.2904971654772488 	 -1.5651405027781027 	 -1.1667683978070669 	 -1.483445747143172 	 -1.0793537941079292
11.01 	 -5.2319531964869075 	 -5.163751141039929 	 -5.131512309194336 	 -4.990816611394567 	 -4.922028645166249 	 -4.74105687518049 	 -3.8236167358940314 	 -3.489349560256745 	 -2.6456228868865805 	 -2.411016281072467 	 -2.414958236189251 	 -2.14795721260497 	 -2.197639904247536 	 -1.8582355645700124 	 -1.8328354965309606 	 -1.4960653960979982 	 -1.7522279016936677 	 -1.3680540394856329 	 -1.6684447518280061 	 -1.2769881413472222
