# This file contains the ZAMS for Z = 0.002 environments.
# I am using AB magnitudes and present absolute magnitudes.
# I am adding both the estimates from blackbodies and from Kurucz models.
# The stellar properties for the ZAMS come from my grid_002 single star evolutionary grid.
# The Kurucz models I am using are for 10^-0.1 solar = 0.1Zsun ~ 0.0014.
# The Kurucz grid is called fm10k2odfnew.pck.
# I have interpolated the Kurucz spectral models over the Teff and logg 
# to get the most accurate magnitudes. I used the properties from the evolutionary models for this.
Minit 	 UVW2_BB 	 UVW2_spec 	 UVM2_BB 	 UVM2_spec 	 UVW1_BB 	 UVW1_spec 	 U_BB 	 U_spec 	 B_BB 	 B_spec 	 V_BB 	 V_spec 	 I_BB 	 I_spec 	 J_BB 	 J_spec 	 H_BB 	 H_spec 	 Ks_BB 	 Ks_spec
2.0 	 2.775523649393513 	 2.672106684681869 	 2.4725529298691766 	 2.6674212656015484 	 2.1766592742701523 	 2.5583000002433653 	 1.716397879800105 	 2.2413397634459473 	 1.7254368033333543 	 1.6942978605779644 	 1.8037201445802677 	 1.8868751810551119 	 2.1385090177667934 	 2.404934247509515 	 2.7418889286253023 	 2.962710484275355 	 3.2015571898143254 	 3.48284617480626 	 3.690030331641407 	 3.9732496990517507
2.21 	 2.2682342644378295 	 2.230741281862722 	 2.0018129784393577 	 2.239762033041803 	 1.7484184210476073 	 2.15151030404196 	 1.3824486565615632 	 1.9274212525903245 	 1.429093980276276 	 1.4647952874949284 	 1.5416718499685285 	 1.6760877196287205 	 1.9155532991199147 	 2.212400524890144 	 2.545520809005506 	 2.7966073918206336 	 3.0164272138125825 	 3.323756118107703 	 3.5125868618266045 	 3.820346117727991
2.44 	 1.7654169967222355 	 1.7837593634572844 	 1.5345158655554958 	 1.8060019051692608 	 1.3191558686729856 	 1.7363641743718268 	 1.041480323025332 	 1.6014883839205778 	 1.1224694066713978 	 1.2185421187092613 	 1.266393722710176 	 1.446869076800148 	 1.6759284696366692 	 2.00037936263964 	 2.330189859331165 	 2.6089778411101037 	 2.811396839126521 	 3.142799036111401 	 3.3146185293154966 	 3.644921521377382
2.7 	 1.296591832126401 	 1.3679107815575977 	 1.0981104707159715 	 1.4015003517867126 	 0.9150270575680812 	 1.3471361659834518 	 0.7155741418064396 	 1.2889605305589908 	 0.8263051407356767 	 0.97378344082018 	 0.9974027122930967 	 1.2172890559328264 	 1.4377982704015257 	 1.7863620100225042 	 2.1131340676347037 	 2.416334922656903 	 2.6033041476883145 	 2.9561753092405665 	 3.1126848874879096 	 3.463151770479672
2.99 	 0.854920591338624 	 0.9711651793869422 	 0.6861646149747745 	 1.015169058428448 	 0.5308531534461387 	 0.9741927482835893 	 0.4014516962984763 	 0.9849573198818631 	 0.538287174747377 	 0.7291751278326181 	 0.7332609146018885 	 0.9867833029018938 	 1.2007493362591475 	 1.5704042495299186 	 1.8946301434248731 	 2.2196569166085114 	 2.3927108582402696 	 2.7649427036542824 	 2.907538899132694 	 3.2764136057783393
3.3 	 0.4376834713660944 	 0.5910038801557822 	 0.2964313073437542 	 0.6448385938347679 	 0.16540185665471407 	 0.6157980717994798 	 0.09959471871021744 	 0.6896090193744964 	 0.2597065327174927 	 0.48711118420023675 	 0.47599524624564515 	 0.7580346830976323 	 0.9676610844816365 	 1.3555557417799369 	 1.678132221381594 	 2.0226321353680166 	 2.183309846232519 	 2.572992170518231 	 2.70303448169132 	 3.0887849616425376
3.65 	 0.03885612792283082 	 0.22132454409212302 	 -0.07704613297289527 	 0.2844873336427249 	 -0.18680979050446775 	 0.2659983698521362 	 -0.19490728894208523 	 0.3973176017041305 	 -0.014010381834768926 	 0.24325853407337003 	 0.22133655261283725 	 0.5267951286010999 	 0.7346200732017898 	 1.1375735210455318 	 1.4599627745278205 	 1.8212501162381574 	 1.9715193810134015 	 2.3764186762870647 	 2.4956534037447007 	 2.896387083626257
4.04 	 -0.3420797622044781 	 -0.1383088990257631 	 -0.43491183736889827 	 -0.06636144168546072 	 -0.5261932743772512 	 -0.07567043539414446 	 -0.48243250915949437 	 0.10726747182408777 	 -0.2831235289471094 	 -0.002495543457794863 	 -0.030871356281604763 	 0.2928938833301678 	 0.5015936088665162 	 0.9160721200396047 	 1.240165535282174 	 1.6151271325293601 	 1.7574113233112199 	 2.174824916600816 	 2.2854846876765094 	 2.698776727094685
4.46 	 -0.7068301911846657 	 -0.4886841576375066 	 -0.778002574604463 	 -0.4081170337360923 	 -0.8526468005952841 	 -0.4091083465267036 	 -0.7607042270215835 	 -0.17834293398366807 	 -0.5445066423680813 	 -0.24580786765564677 	 -0.27672607968921104 	 0.061043551212087564 	 0.27336774103548517 	 0.6961225742795264 	 1.0241290592138623 	 1.4099270706684428 	 1.5466297887804517 	 1.9740196298384194 	 2.0783476992754206 	 2.5019274234141893
4.93 	 -1.057061032750108 	 -0.831369549553823 	 -1.1079448431672447 	 -0.7423230913026008 	 -1.1676037896811007 	 -0.7356435824907623 	 -1.0309218328092395 	 -0.46045284757820926 	 -0.7992242055946829 	 -0.48757357380251437 	 -0.517170852392974 	 -0.1696087044577728 	 0.04913852267462036 	 0.4769130196116312 	 0.8111407374664686 	 1.2048209795920817 	 1.3384990834208912 	 1.7731482567915027 	 1.8735911743105027 	 2.3049775547956646
