# This file contains the ZAMS for Z = 0.002 environments.
# I am using Vega magnitudes and present absolute magnitudes.
# I am adding both the estimates from blackbodies and from Kurucz models.
# The stellar properties for the ZAMS come from my grid_002 single star evolutionary grid.
# The Kurucz models I am using are for 10^-0.1 solar = 0.1Zsun ~ 0.0014.
# The Kurucz grid is called fm10k2odfnew.pck.
# I have interpolated the Kurucz spectral models over the Teff and logg 
# to get the most accurate magnitudes. I used the properties from the evolutionary models for this.
Minit 	 UVW2_BB 	 UVW2_spec 	 UVM2_BB 	 UVM2_spec 	 UVW1_BB 	 UVW1_spec 	 U_BB 	 U_spec 	 B_BB 	 B_spec 	 V_BB 	 V_spec 	 I_BB 	 I_spec 	 J_BB 	 J_spec 	 H_BB 	 H_spec 	 Ks_BB 	 Ks_spec
2.0 	 1.0440206053994103 	 0.940603640687766 	 0.7848464243102615 	 0.979714760042633 	 0.6874372520900973 	 1.0690779780633108 	 0.9562998182907939 	 1.4812417019366364 	 1.833603618014349 	 1.802464675258959 	 1.7882306410907995 	 1.8713856775656434 	 1.6915935164449016 	 1.958018746187623 	 1.8401105860433418 	 2.060932141693394 	 1.827912890064364 	 2.1092018750562986 	 1.847545739680737 	 2.1307651070910807
2.21 	 0.536731220443727 	 0.4992382378686197 	 0.3141064728804424 	 0.5520555274828878 	 0.25919639886755264 	 0.6622882818619054 	 0.6223505950522522 	 1.1673231910810136 	 1.537260794957271 	 1.572962102175923 	 1.5261823464790596 	 1.660598216139252 	 1.468637797798023 	 1.7654850235682522 	 1.6437424664235447 	 1.8948290492386728 	 1.6427829140626211 	 1.9501118183577417 	 1.6701022698659345 	 1.9778615257673215
2.44 	 0.033913952728132975 	 0.05225631946318184 	 -0.1531906400034193 	 0.11829539961034573 	 -0.17006615350706913 	 0.24714215219177194 	 0.28138226151602086 	 0.8413903224112669 	 1.2306362213523927 	 1.326708933390256 	 1.2509042192207076 	 1.4313795733106793 	 1.2290129683147775 	 1.5534638613177478 	 1.4284115167492044 	 1.7071994985281427 	 1.4377525393765596 	 1.7691547363614402 	 1.472133937354827 	 1.8024369294167117
2.7 	 -0.4349112118677015 	 -0.36359226243650483 	 -0.5895960348429438 	 -0.2862061537722028 	 -0.5741949646119735 	 -0.14208585619660277 	 -0.04452391970287134 	 0.5288624690496797 	 0.9344719554166714 	 1.0819502555011744 	 0.9819132088036281 	 1.201799552443358 	 0.9908827690796341 	 1.3394465087006124 	 1.211355725052743 	 1.514556580074942 	 1.2296598479383531 	 1.582531009490605 	 1.2702002955272396 	 1.6206671785190023
2.99 	 -0.8765824526554786 	 -0.7603378646071606 	 -1.0015418905841404 	 -0.6725374471304669 	 -0.9583688687339159 	 -0.5150292738964654 	 -0.3586463652108346 	 0.2248592583725521 	 0.6464539894283716 	 0.8373419425136129 	 0.7177714111124199 	 0.9712937994124253 	 0.7538338349372559 	 1.1234887482080267 	 0.9928518008429121 	 1.3178785740265506 	 1.0190665584903087 	 1.3912984039043208 	 1.065054307172024 	 1.4339290138176695
3.3 	 -1.2938195726280082 	 -1.1404991638383204 	 -1.391275198215161 	 -1.0428679117241475 	 -1.3238201655253405 	 -0.873423950380575 	 -0.6605033427990935 	 -0.07048904213481458 	 0.3678733473984873 	 0.5952779988812317 	 0.46050574275617656 	 0.7425451796081637 	 0.5207455831597448 	 0.9086402404580454 	 0.7763538787996329 	 1.1208537927860556 	 0.8096655464825576 	 1.1993478707682694 	 0.8605498897306498 	 1.2463003696818677
3.65 	 -1.6926469160712718 	 -1.5101784999019796 	 -1.7647526385318104 	 -1.4032191719161902 	 -1.6760318126845222 	 -1.2232236523279185 	 -0.9550053504513962 	 -0.3627804598051805 	 0.09415643284622566 	 0.35142534875436476 	 0.20584704912336882 	 0.5113056251116314 	 0.2877045718798983 	 0.69065801972364 	 0.5581844319458595 	 0.9194717736561963 	 0.5978750812634402 	 1.0027743765371033 	 0.6531688117840309 	 1.053902491665587
4.04 	 -2.073582806198581 	 -1.8698119430198659 	 -2.1226183429278134 	 -1.7540679472443759 	 -2.015415296557306 	 -1.5648924575741994 	 -1.2425305706688055 	 -0.6528305896852232 	 -0.1749567142661147 	 0.10567127122319983 	 -0.04636085977107328 	 0.2774043798406993 	 0.05467810754462444 	 0.46915661871771297 	 0.3383871927002135 	 0.7133487899473991 	 0.3837670235612586 	 0.8011806168508546 	 0.4430000957158393 	 0.8562921351340153
4.46 	 -2.438333235178768 	 -2.2201872016316093 	 -2.465709080163378 	 -2.0958235392950075 	 -2.341868822775339 	 -1.898330368706758 	 -1.5208022885308945 	 -0.938440995492979 	 -0.43633982768708657 	 -0.13764105297465218 	 -0.29221558317867946 	 0.0455540477226191 	 -0.17354776028640637 	 0.2492070729576349 	 0.12235071663190158 	 0.508148728086482 	 0.17298548903049035 	 0.6003753300884582 	 0.23586310731475058 	 0.659442831453519
4.93 	 -2.7885640767442106 	 -2.562872593547925 	 -2.7956513487261603 	 -2.4300295968615155 	 -2.6568258118611556 	 -2.224865604670817 	 -1.7910198943185505 	 -1.2205509090875202 	 -0.691057390913688 	 -0.37940675912151955 	 -0.5326603558824426 	 -0.18509820794724124 	 -0.3977769786472712 	 0.0299975182897396 	 -0.0906376051154921 	 0.3030426370101209 	 -0.03514521632907009 	 0.3995039570415414 	 0.03110658234983289 	 0.4624929628349949
