tg,gi_obs,gi_temp,gi_temp_var
11.663,1.6632886230007289,0.87096,0.063028
11.763,1.6667318201429318,0.87758,0.062226
11.863,1.6700823955038602,0.88413,0.06141
11.963,1.6734329708647884,0.8906,0.060585
12.063,1.6767161767195276,0.897,0.059753
12.163,1.6799598163563458,0.90332,0.058921
12.263,1.6831895168951125,0.90957,0.058093
12.363,1.6863259327007643,0.91574,0.057274
12.463,1.6894623485064162,0.92182,0.056469
12.563,1.6925311486677523,0.92783,0.055683
12.663,1.695560238053855,0.93375,0.054921
12.763,1.6985753857498447,0.93959,0.054187
12.863,1.7014972313658456,0.94534,0.053487
12.963,1.7044190769818466,0.95101,0.052826
13.063,1.707273527614758,0.95659,0.052206
13.163,1.7100883970671243,0.96209,0.051633
13.263,1.7128894184149615,0.9675,0.05111
13.363,1.7155977639863322,0.97281,0.050639
13.463,1.718306109557703,0.97804,0.050223
13.563,1.720947746191186,0.98318,0.049865
13.663,1.7235502045595603,0.98822,0.049564
13.763,1.7261390042945726,0.99318,0.049321
13.863,1.7286363962524702,0.99804,0.049137
13.963,1.7311337882103677,1.0028,0.049011
14.063,1.7335656212441795,1.0075,0.04894
14.163,1.7359589514178135,1.0121,0.048922
14.263,1.7383389080227742,1.0166,0.048955
14.363,1.740629364591227,1.0209,0.049036
14.463,1.7429198211596797,1.0252,0.04916
14.563,1.7451463313710713,1.0294,0.049324
14.663,1.7473352857854587,1.0336,0.049523
14.763,1.7495112469973204,1.0376,0.049753
14.863,1.751600253699971,1.0415,0.050008
14.963,1.7536892604026217,1.0453,0.050285
15.063,1.7557163944530811,1.049,0.050578
15.163,1.7577071905966979,1.0527,0.050882
15.263,1.7596854689133339,1.0562,0.051193
15.363,1.7615799740801756,1.0597,0.051507
15.463,1.7634744792470174,1.063,0.05182
15.563,1.765309645189006,1.0663,0.052127
15.663,1.767109961110049,1.0695,0.052425
15.763,1.7688983292969915,1.0725,0.05271
15.863,1.770606739571109,1.0755,0.052979
15.963,1.772315149845226,1.0784,0.05323
16.063,1.7739672126289192,1.0813,0.053459
16.163,1.7755861824420456,1.084,0.053666
16.263,1.7771938690392255,1.0866,0.053846
16.363,1.7787260448835325,1.0892,0.054
16.463,1.78025822072784,1.0916,0.054125
