tr,ri_obs,ri_temp,ri_temp_var
11.464,0.5089648064231357,0.16985,0.021364
11.564,0.5099695023160674,0.17118,0.021309
11.664,0.5109624887237555,0.17249,0.021252
11.764,0.5119509369691528,0.17377,0.021192
11.864,0.5129115079319064,0.17503,0.021131
11.964,0.51387207889466,0.17628,0.021068
12.064,0.5148119891875284,0.17749,0.021003
12.164,0.5157402778535861,0.17869,0.020936
12.264,0.5166640685413929,0.17987,0.020867
12.364,0.5175602287913718,0.18103,0.020796
12.464,0.5184563890413505,0.18217,0.020724
12.564,0.5193320978890995,0.18328,0.020649
12.664,0.5201963028230943,0.18438,0.020573
12.764,0.5210560607257859,0.18546,0.020496
12.864,0.521888501150473,0.18652,0.020417
12.964,0.52272094157516,0.18756,0.020336
13.064,0.5235331851941204,0.18859,0.020254
13.164,0.5243340681098594,0.18959,0.02017
13.264,0.5251305640097057,0.19058,0.020085
13.364,0.5259001110976398,0.19154,0.019999
13.464,0.5266696581855739,0.1925,0.019912
13.564,0.5274193006470927,0.19343,0.019823
13.664,0.5281577467562532,0.19435,0.019733
13.764,0.5288918732389482,0.19524,0.019643
13.864,0.5295994648733553,0.19613,0.019551
13.964,0.5303070565077624,0.19699,0.019459
14.064,0.5309950655318382,0.19784,0.019366
14.164,0.5316720593376026,0.19868,0.019272
14.264,0.5323448065858997,0.1995,0.019177
14.364,0.5329914678383253,0.2003,0.019082
14.464,0.5336381290907509,0.20109,0.018987
14.564,0.5342655518396627,0.20186,0.018891
14.664,0.534882152930348,0.20262,0.018794
14.764,0.535494584517689,0.20336,0.018698
14.864,0.5360814034416298,0.20409,0.018601
14.964,0.5366682223655707,0.2048,0.018505
15.064,0.5372361612375114,0.2055,0.018408
15.164,0.5377934800802022,0.20618,0.018311
15.264,0.5383467087643513,0.20685,0.018215
15.364,0.5388748121888878,0.20751,0.018118
15.464,0.5394029156134241,0.20816,0.018022
15.564,0.5399125040361332,0.20879,0.017927
15.664,0.5404116777703143,0.20941,0.017831
15.764,0.5409068412869902,0.21001,0.017737
15.864,0.5413773706104197,0.2106,0.017642
15.964,0.5418478999338492,0.21118,0.017549
16.064,0.542300278158244,0.21175,0.017456
16.164,0.5427424463894319,0.2123,0.017364
16.264,0.5431806832459387,0.21285,0.017272
