hjd_ref hjd_obs hjd_diff spec_line vrel verr tdr
2458836.72805 2458866.71992 29.99187000002712 HeII_4026 44.3328 5.241 60.61
2458836.72805 2458866.71992 29.99187000002712 HeII4860/Hb -33.9055 6.080 113.65
2458836.72805 2458866.71992 29.99187000002712 HeII4339/Hc -101.9988 0.321 112.95
2458836.72805 2458866.71992 29.99187000002712 HeII4101/Hd -67.7810 0.494 106.10
2458836.72805 2458866.71992 29.99187000002712 HeII3969/He -167.2828 2.563 188.36
2458836.72805 2458866.71992 29.99187000002712 HeII3889/Hf -161.1770 3.701 89.31
2458836.72805 2458866.71992 29.99187000002712 HeII3835/Hg -190.7327 2.425 97.96
2458836.72805 2458866.71992 29.99187000002712 HeII_iso INDEF INDEF INDEF
2458836.72805 2458866.71992 29.99187000002712 HeIIH_blend INDEF INDEF INDEF
2458836.72805 2458866.71992 29.99187000002712 HeIIH_blend_lite -47.1257 7.380 78.44
2458836.72805 2458866.71992 29.99187000002712 All_lines -78.0090 22.978 59.89
2458836.72805 2458866.71992 29.99187000002712 All_lines_lite -46.9038 6.905 80.56
2458836.72805 2458866.71992 29.99187000002712 Full INDEF INDEF INDEF
