tg,gr_obs,gr_temp,gr_temp_var
0.062829,0.8110202049137388,0.090815,0.027907
0.16283,0.8138202974914343,0.095274,0.027913
0.26283,0.8166316428065697,0.099804,0.02793
0.36283,0.819519632076416,0.1044,0.027956
0.46283,0.8224076213462623,0.10907,0.027993
0.56283,0.8253470265960364,0.11381,0.028038
0.66283,0.8283168493529557,0.11862,0.028092
0.76283,0.8312964021984192,0.12349,0.028154
0.86283,0.8343420635254424,0.12843,0.028223
0.96283,0.8373877248524656,0.13343,0.028298
1.0628,0.8404763955383364,0.1385,0.028379
1.1628,0.8435919980393178,0.14363,0.028465
1.2628,0.8467158107842294,0.14883,0.028555
1.3628,0.849895555815916,0.15408,0.028649
1.4628,0.8530753008476025,0.1594,0.028746
1.5628,0.8562917486311646,0.16478,0.028844
1.6628,0.8595299375352645,0.17021,0.028944
1.7628,0.8627748907825518,0.17571,0.029045
1.8628,0.8660659261178038,0.18125,0.029147
1.9628,0.8693569614530557,0.18686,0.029248
2.0628,0.8726777334919941,0.19252,0.029349
2.1628,0.876016120266237,0.19823,0.029449
2.2628,0.879359877936864,0.20399,0.029549
2.3628,0.8827402248391071,0.20981,0.029647
2.4628,0.8861205717413501,0.21567,0.029744
2.5628,0.8895239497461874,0.22158,0.029841
2.6628,0.8929409703786761,0.22754,0.029937
2.7628,0.8963620221763231,0.23355,0.030033
2.8628,0.8998105362866101,0.2396,0.03013
2.9628,0.9032590503968971,0.24569,0.030227
3.0628,0.9067241566456992,0.25182,0.030327
3.1628,0.9101990913587172,0.258,0.03043
3.2628,0.9136767724828846,0.26421,0.030536
3.3628,0.9171731635330072,0.27046,0.030648
3.4628,0.9206695545831298,0.27675,0.030767
3.5628,0.924176371634615,0.28307,0.030894
3.6628,0.9276893645977353,0.28942,0.031031
3.7628,0.9312038754568519,0.2958,0.031179
3.8628,0.9347287269824427,0.30222,0.03134
3.9628,0.9382535785080336,0.30866,0.031517
4.0628,0.9417829689146769,0.31513,0.03171
4.1628,0.9453150479578672,0.32162,0.031923
4.2628,0.9488474738823953,0.32814,0.032155
4.3628,0.9523822629360368,0.33467,0.03241
4.4628,0.9559170519896781,0.34123,0.03269
4.5628,0.9594507780108218,0.34781,0.032994
4.6628,0.962983874337556,0.3544,0.033326
4.7628,0.9665162052931026,0.361,0.033685
4.8628,0.9700433221574338,0.36762,0.034074
4.9628,0.973570439021765,0.37425,0.034492
5.0628,0.9770911823367215,0.38089,0.03494
5.1628,0.9806081502370803,0.38754,0.035419
5.2628,0.984123300537498,0.39419,0.035927
5.3628,0.9876260684383175,0.40085,0.036465
5.4628,0.991128836339137,0.40751,0.037032
5.5628,0.9946202177602969,0.41416,0.037625
5.6628,0.9981048543240787,0.42082,0.038245
5.7628,1.001586682344577,0.42748,0.038888
5.8628,1.005049377163956,0.43412,0.039554
5.9628,1.008512071983335,0.44077,0.040238
6.0628,1.0119586711692727,0.4474,0.040939
6.1628,1.0153957359990955,0.45402,0.041653
6.2628,1.0188290638893422,0.46063,0.042377
6.3628,1.0222369338787278,0.46723,0.043107
6.4628,1.0256448038681132,0.47381,0.04384
6.5628,1.0290321790366974,0.48037,0.044572
6.6628,1.0324074139611126,0.48692,0.045298
6.7628,1.0357780473583478,0.49344,0.046014
6.8628,1.0391173328516674,0.49994,0.046716
6.9628,1.0424566183449873,0.50642,0.047398
7.0628,1.0457713259864814,0.51287,0.048057
7.1628,1.0490714747730723,0.51929,0.048688
7.2628,1.0523662225152068,0.52569,0.049285
7.3628,1.0556241756419817,0.53206,0.049844
7.4628,1.0588821287687569,0.53839,0.05036
7.5628,1.062111743358932,0.54469,0.050828
7.6628,1.065324571427427,0.55096,0.051243
7.7628,1.0685312652661556,0.55719,0.051601
7.8628,1.0716961696645977,0.56339,0.051897
